City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,dhuusamarreeb,5.535,46.3861,34.379999999999995,19,97,10.25,SO,1705756025
239,shimoda,34.6667,138.95,6.930000000000007,93,100,8.92,JP,1705756026
240,naze,28.3667,129.4833,18.680000000000007,84,80,5.52,JP,1705756026
241,nong chik,6.8436,101.178,24.55000000000001,83,98,3.06,TH,1705756027
242,kas,36.2018,29.6377,18.110000000000014,71,99,4.08,TR,1705756027
243,gaspe,48.8334,-64.4819,-5.420000000000016,95,100,4.21,CA,1705756028
244,kingston,17.997,-76.7936,25.180000000000007,69,20,1.54,JM,1705756028
245,imbituba,-28.24,-48.6703,26.24000000000001,89,22,3.63,BR,1705756029
246,lubumbashi,-11.6609,27.4794,21.110000000000014,94,97,3.08,CD,1705756030
247,luderitz,-26.6481,15.1594,20.930000000000007,72,22,4.27,NA,1705756030
248,tanout,14.9709,8.8879,29.230000000000018,6,0,7.79,NE,1705756031
249,kill devil hills,36.0307,-75.676,-0.36000000000001364,65,0,3.6,US,1705756031
250,chibougamau,49.9168,-74.3659,-14.560000000000002,92,100,3.09,CA,1705756032
251,port elizabeth,-33.918,25.5701,27.05000000000001,59,3,2.24,ZA,1705756033
252,bamboo flat,11.7,92.7167,26.69999999999999,69,20,1.54,IN,1705756033
253,bejaia,36.7559,5.0843,14.600000000000023,81,88,7.64,DZ,1705756034
254,shindand,33.3029,62.1474,11.800000000000011,33,0,2.32,AF,1705756035
255,akureyri,65.6835,-18.0878,-3.0500000000000114,93,100,3.13,IS,1705756035
256,sabha,27.0377,14.4283,27.819999999999993,8,100,6.02,LY,1705756036
257,vysokiy,58.35,60.05,-2.480000000000018,90,100,4.29,RU,1705756036
258,ambon,-3.6954,128.1814,28.730000000000018,74,40,2.06,ID,1705756037
259,kirov,58.5966,49.6601,-8.360000000000014,92,100,0.89,RU,1705756037
260,college,64.8569,-147.8028,-23.169999999999987,64,40,0.0,US,1705756038
261,pisco,-13.7,-76.2167,22.680000000000007,83,20,2.57,PE,1705755869
262,buka,40.8108,69.1986,4.920000000000016,52,99,1.78,UZ,1705756039
263,lyepyel',54.8814,28.6932,-5.8799999999999955,95,86,2.34,BY,1705756040
264,wulingyuan,29.3494,110.5441,4.649999999999977,85,92,1.41,CN,1705756040
265,sittwe,20.15,92.9,20.870000000000005,64,52,7.42,MM,1705756041
266,salavan,15.7167,106.4167,22.0,63,17,1.35,LA,1705756042
267,dwarka,22.2394,68.9678,22.74000000000001,41,97,4.39,IN,1705756042
268,mascara,35.3966,0.1403,10.110000000000014,83,91,3.63,DZ,1705756043
269,lesko,49.4701,22.3304,3.3799999999999955,61,88,4.18,PL,1705756043
270,manokwari,-0.8667,134.0833,25.55000000000001,85,100,1.9,ID,1705756044
271,zhengjiatun,43.5064,123.5064,-16.45999999999998,90,100,6.15,CN,1705756045
272,cabo san lucas,22.8909,-109.9124,21.05000000000001,78,40,1.79,MX,1705756045
273,borogontsy,62.6683,131.1683,-49.849999999999994,100,82,1.41,RU,1705756046
274,agdas,40.65,47.4761,12.579999999999984,52,79,1.72,AZ,1705756047
275,paita,-5.0892,-81.1144,23.379999999999995,82,35,4.81,PE,1705756048
276,koryazhma,61.3143,47.1691,-12.069999999999993,99,100,1.25,RU,1705756048
277,tinghir,31.5157,-5.5343,14.990000000000009,28,35,2.38,MA,1705756049
278,dudinka,69.4058,86.1778,-12.779999999999973,83,100,14.75,RU,1705756050
279,bulawayo,-20.15,28.5833,18.29000000000002,66,94,5.71,ZW,1705756051
280,elk city,35.412,-99.4043,-11.970000000000027,85,0,2.57,US,1705756052
281,melfort,52.8667,-104.6177,-17.669999999999987,88,100,4.89,CA,1705756052
282,newman,37.3138,-121.0208,12.589999999999975,91,72,5.28,US,1705756053
283,puerto san jose,13.9256,-90.8244,23.95999999999998,73,0,1.57,GT,1705756053
284,kapa'a,22.0752,-159.319,23.829999999999984,84,75,5.66,US,1705756055
285,pelabuhanratu,-6.9875,106.5514,26.060000000000002,84,25,1.27,ID,1705756056
286,malpe,13.35,74.7167,28.25999999999999,74,0,4.21,IN,1705756056
287,beau vallon,-20.4189,57.6953,29.20999999999998,80,100,1.9,MU,1705756057
288,newport,51.5877,-2.9984,7.810000000000002,79,100,10.09,GB,1705756058
289,arraial do cabo,-22.9661,-42.0278,31.569999999999993,70,40,3.6,BR,1705756058
290,san antonio de pale,-1.4014,5.6325,27.220000000000027,78,5,2.41,GQ,1705756059
291,trairi,-3.2778,-39.2689,28.860000000000014,65,90,4.17,BR,1705755914
292,keflavik,64.0049,-22.5624,2.8899999999999864,81,75,8.23,IS,1705756060
293,port saint john's,-31.6229,29.5448,26.04000000000002,60,0,9.29,ZA,1705756061
294,bechar,31.6167,-2.2167,17.639999999999986,24,100,2.55,DZ,1705756061
295,egilsstadir,65.2653,-14.3948,-1.9399999999999977,95,100,2.62,IS,1705756062
296,rusape,-18.5278,32.1284,14.860000000000014,91,100,3.34,ZW,1705756062
297,prince rupert,54.3161,-130.3201,0.3299999999999841,85,100,2.79,CA,1705756063
298,tanjung pandan,-2.75,107.65,26.25,84,100,1.99,ID,1705756064
299,constitucion,-35.3333,-72.4167,18.55000000000001,51,0,2.53,CL,1705756064
300,bac lieu,9.285,105.7244,24.660000000000025,76,100,6.49,VN,1705756065
301,rawson,-43.3002,-65.1023,25.05000000000001,26,40,7.73,AR,1705756066
302,mahanoro,-19.9,48.8,26.779999999999973,84,100,3.38,MG,1705756067
303,quellon,-43.1167,-73.6167,13.269999999999982,69,0,5.31,CL,1705756067
304,chervyen',53.7059,28.4313,-5.180000000000007,96,100,3.29,BY,1705756068
305,hit,33.6416,42.8251,20.05000000000001,30,0,0.54,IQ,1705756068
306,namibe,-15.1961,12.1522,26.139999999999986,61,5,5.88,AO,1705756069
307,fort-shevchenko,44.5086,50.263,5.850000000000023,94,100,3.66,KZ,1705756070
308,sibiu,45.8,24.15,2.6399999999999864,60,0,2.06,RO,1705756071
309,tatarsk,55.219,75.9828,-24.169999999999987,95,5,2.02,RU,1705756071
310,puerto deseado,-47.7503,-65.8938,17.180000000000007,35,10,4.55,AR,1705756072
311,castillos,-34.1667,-53.8333,21.69999999999999,63,81,5.49,UY,1705756072
312,sarh,9.1429,18.3923,36.10000000000002,6,57,1.6,TD,1705756073
313,pahrump,36.2083,-115.9839,10.350000000000023,53,100,1.34,US,1705756074
314,acarau,-2.8856,-40.12,29.610000000000014,63,76,5.41,BR,1705756074
315,ta`u,-14.2336,-169.5144,27.839999999999975,79,100,4.18,AS,1705756075
316,sandnessjoen,66.0217,12.6316,-2.2900000000000205,93,100,5.66,NO,1705756075
317,yarmouth,41.7057,-70.2286,-7.009999999999991,67,0,7.6,US,1705756076
318,sabang,5.8933,95.3214,27.730000000000018,76,68,6.29,ID,1705756076
319,tobelo,1.7284,128.0095,24.930000000000007,89,100,1.71,ID,1705756077
320,ulaangom,49.9811,92.0667,-31.94999999999999,93,14,1.51,MN,1705756078
321,cooper's town,26.8667,-77.5167,21.00999999999999,64,100,7.64,BS,1705756078
322,dzhangala,49.2167,50.3333,0.0,86,100,7.35,KZ,1705756079
323,baotou,40.6522,109.8222,-15.170000000000016,75,14,4.84,CN,1705756079
324,mount gambier,-37.8333,140.7667,13.670000000000016,94,4,3.05,AU,1705756080
325,tsiombe,-25.3,45.4833,27.79000000000002,64,75,8.18,MG,1705756039
326,touros,-5.1989,-35.4608,30.149999999999977,56,11,5.16,BR,1705755957
327,remire-montjoly,4.9167,-52.2667,23.670000000000016,100,100,1.54,GF,1705756082
328,dunedin,-45.8742,170.5036,12.629999999999995,94,32,2.53,NZ,1705756082
